staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,1,1.0,16.15788039999825,,16.143320099999983,16.15788039999825,16.642991699998674,16.642991699998674,16.642991699998674,16.940853799998877,17.377404599999863,right,1.0,1,1,0.7246666999999434,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
11,1,1.0,17.39308339999843,,17.37802119999833,17.39308339999843,17.877440999998726,17.877440999998726,17.877440999998726,18.190102799999295,18.8451086999994,right,1.0,1,1,0.957437499999287,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
12,1,1.0,18.859774599999582,,18.845704299999852,18.859774599999582,19.343314399999144,19.343314399999144,19.343314399999144,19.644162499998856,20.076942199999394,right,1.0,1,1,0.7227873000010732,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
13,1,1.0,20.093139099999462,,20.077283999999054,20.093139099999462,20.594557799999166,20.594557799999166,20.594557799999166,20.89273569999932,21.51095759999953,right,1.0,1,1,0.9091354000011052,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
14,1,1.0,21.526915599999484,,21.511571499999263,21.526915599999484,22.027702499999577,22.027702499999577,22.027702499999577,22.344399099998554,22.71060959999886,right,1.0,1,1,0.6742013000002771,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
15,1,1.0,22.725288399999044,,22.710965499998565,22.725288399999044,23.227658099998735,23.227658099998735,23.227658099998735,23.527030499999455,23.724636699998882,right,1.0,1,1,0.48259260000122595,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
16,1,1.0,23.74216019999949,,23.724922999999762,23.74216019999949,24.24015319999853,24.24015319999853,24.24015319999853,24.539614399998754,24.65697369999907,right,1.0,1,1,0.4136335000002873,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
17,0.5,1.0,24.673128299999007,,24.657156599998416,24.673128299999007,25.156866099998297,25.156866099998297,25.156866099998297,25.45655529999931,26.66052689999924,left,-1.0,0,0,1.4986541999987821,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
18,0.5,1.5,26.677484599998934,,26.660956499999884,26.677484599998934,27.177189999998518,27.177189999998518,27.177189999998518,27.49483919999875,28.030394099998375,left,-1.5,1,1,0.8494664000008925,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
19,0.5,1.5,28.04148929999974,,28.030795699998635,28.04148929999974,28.544761399998606,28.544761399998606,28.544761399998606,28.861681799999133,29.194659599999795,right,1.5,1,1,0.6455653000011807,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
20,0.5,1.5,29.208574399999634,,29.19502149999971,29.208574399999634,29.694492299999183,29.694492299999183,29.694492299999183,29.995083399999203,30.39787829999841,left,-1.5,1,1,0.6927630000009231,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
21,0.5,1.0,30.411683799999082,,30.398476099999243,30.411683799999082,30.912110799999937,30.912110799999937,30.912110799999937,31.212306199999148,32.89724549999846,right,1.0,1,1,1.9691434999986086,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
22,0.5,1.0,32.909943899998325,,32.89789199999905,32.909943899998325,33.41075079999973,33.41075079999973,33.41075079999973,33.72927389999859,34.09628669999984,left,-1.0,1,1,0.6701204000000871,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
23,0.5,1.0,34.109330399998726,,34.0968785999994,34.109330399998726,34.61087139999836,34.61087139999836,34.61087139999836,34.909984999998414,35.413156899998285,left,-1.0,1,1,0.7905093999997916,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
24,0.5,1.0,35.42781919999834,,35.41371919999983,35.42781919999834,35.927214399998775,35.927214399998775,35.927214399998775,36.228336899999704,36.69360889999916,right,1.0,1,1,0.7590426999995543,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
25,0.5,1.0,36.7105303999997,,36.693960999999035,36.7105303999997,37.1944481999999,37.1944481999999,37.1944481999999,37.510416899998745,37.8972260999999,left,-1.0,1,1,0.6959598999983427,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
26,0.5,1.0,37.910347699998965,,37.89780229999997,37.910347699998965,38.39488009999877,38.39488009999877,38.39488009999877,38.696001199999955,39.264332299999296,left,-1.0,1,1,0.8620030000001861,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
27,0.5,1.0,39.27921459999925,,39.26498609999908,39.27921459999925,39.779445099999066,39.779445099999066,39.779445099999066,40.09336769999936,40.66539769999872,right,1.0,1,1,0.8822799999998097,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
28,0.5,1.0,40.6770865999988,,40.66580189999877,40.6770865999988,41.17791059999945,41.17791059999945,41.17791059999945,41.4798138999995,42.14683779999905,right,1.0,1,1,0.9608543999984249,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
29,0.5,1.0,42.160245199998826,,42.147396299998945,42.160245199998826,42.663370599999325,42.663370599999325,42.663370599999325,42.96322989999862,43.264065699999264,right,1.0,1,1,0.5986888000006729,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
30,0.5,1.0,43.27843149999899,,43.264524999998685,43.27843149999899,43.76299179999842,43.76299179999842,43.76299179999842,44.07682489999934,44.4972504999987,left,-1.0,1,1,0.7304872999993677,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
31,0.5,1.0,44.512031399999614,,44.49763929999972,44.512031399999614,44.996656399998756,44.996656399998756,44.996656399998756,45.31054309999854,45.561087099998986,right,1.0,1,1,0.5558473000000959,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
32,0.5,1.0,45.57749960000001,,45.56145419999848,45.57749960000001,46.063704099999086,46.063704099999086,46.063704099999086,46.363714099999925,46.56458969999949,left,-1.0,1,1,0.49017470000035246,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
33,0.5,1.0,46.58066509999844,,46.56532249999873,46.58066509999844,47.0791311999983,47.0791311999983,47.0791311999983,47.37986499999897,47.495711599998685,right,1.0,1,1,0.4094394000003376,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
34,0.5,1.0,47.51236379999864,,47.49615299999823,47.51236379999864,47.997365599998375,47.997365599998375,47.997365599998375,48.29746889999842,48.731852799999615,left,-1.0,1,1,0.7280144999986078,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
35,0.5,1.0,48.744484799999555,,48.73226899999827,48.744484799999555,49.23122659999899,49.23122659999899,49.23122659999899,49.53122099999928,49.91518449999967,left,-1.0,1,1,0.6823392999995121,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
36,0.5,1.0,49.927289699999164,,49.915821999999025,49.927289699999164,50.42944349999925,50.42944349999925,50.42944349999925,50.73074689999885,50.92906319999929,left,-1.0,1,1,0.4852152000003116,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
37,0.5,1.0,50.945630999998684,,50.92958349999935,50.945630999998684,51.430100599998696,51.430100599998696,51.430100599998696,51.73104719999901,52.411924,left,-1.0,1,1,0.9688806999984081,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
38,0.5,1.0,52.42851519999931,,52.4122488999983,52.42851519999931,52.914573299998665,52.914573299998665,52.914573299998665,53.22664919999988,53.46209279999857,left,-1.0,1,1,0.5325209999991785,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
