thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
28,0,28,-5,down,1,0.6755463000154123,None,28,0,28,0,38.065768200031016,,38.04968550003832,38.065768200031016,38.54905900004087,38.565169400011655,39.23308530001668,-5,down,1,0.6755463000154123,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
29,0,29,0,up,1,0.7508365000248887,None,29,0,29,0,39.24911949998932,,39.23342629999388,39.24911949998932,39.7321911000181,39.748395600006916,40.49928220000584,0,up,1,0.7508365000248887,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
30,0,30,0,up,1,0.7859884999925271,None,30,0,30,0,40.51587450003717,,40.499707100039814,40.51587450003717,40.99890190002043,41.01558519998798,41.79942240001401,0,up,1,0.7859884999925271,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
31,0,31,4,down,1,0.8692226999555714,None,31,0,31,0,41.815671999996994,,41.79976890003309,41.815671999996994,42.29892910004128,42.3159139000345,43.18370600003982,4,down,1,0.8692226999555714,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
32,0,32,1,up,0,0.7322376000229269,None,32,0,32,0,43.199013800011016,,43.18419860000722,43.199013800011016,43.69907810003497,43.69907810003497,44.433613000030164,1,up,0,0.7322376000229269,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
33,0,33,0,up,1,0.6892819000058807,None,33,0,33,0,44.449686100007966,,44.433910300023854,44.449686100007966,44.948710400029086,44.948710400029086,45.650153900031,0,up,1,0.6892819000058807,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
34,0,34,0,up,1,0.8169539999798872,None,34,0,34,0,45.665624500019476,,45.65053380001336,45.665624500019476,46.16558690002421,46.16558690002421,46.98463630001061,0,up,1,0.8169539999798872,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
35,0,35,0,up,1,0.8407372999936342,None,35,0,35,0,46.99901500000851,,46.98493070004042,46.99901500000851,47.49918220000109,47.49918220000109,48.349386100017,0,up,1,0.8407372999936342,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
36,0,36,3,down,1,0.7464121999801137,None,36,0,36,0,48.365331700013485,,48.3497848000261,48.365331700013485,48.8484252000344,48.86502040002961,49.60003690002486,3,down,1,0.7464121999801137,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
37,0,37,-3,down,1,0.9390449000056833,None,37,0,37,0,49.614756700000726,,49.60046440002043,49.614756700000726,50.099155400006566,50.11588490003487,51.04949940001825,-3,down,1,0.9390449000056833,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
38,0,38,4,down,1,0.6142964999889955,None,38,0,38,0,51.0656764000305,,51.049833500001114,51.0656764000305,51.5488271000213,51.56532320001861,52.16673900000751,4,down,1,0.6142964999889955,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
39,0,39,0,down,0,0.7175941999885254,None,39,0,39,0,52.18223560001934,,52.16732960002264,52.18223560001934,52.682218400004786,52.682218400004786,53.4028699999908,0,down,0,0.7175941999885254,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
40,0,40,0,up,1,0.7070380999939516,None,40,0,40,0,53.41569829999935,,53.40327850001631,53.41569829999935,53.915285199997015,53.915285199997015,54.63287940004375,0,up,1,0.7070380999939516,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
41,0,41,2,up,0,0.7018530000350438,None,41,0,41,0,54.64873020001687,,54.633242000010796,54.64873020001687,55.131913500023074,55.149050800013356,55.834405400033575,2,up,0,0.7018530000350438,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
42,0,42,0,up,1,0.6697032999945804,None,42,0,42,0,55.84843820001697,,55.834730300004594,55.84843820001697,56.34878790000221,56.34878790000221,57.03017730003921,0,up,1,0.6697032999945804,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
43,0,43,0,up,1,0.7371389999752864,None,43,0,43,0,57.04678780003451,,57.03039610001724,57.04678780003451,57.53219950001221,57.54823379998561,58.28295940003591,0,up,1,0.7371389999752864,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
44,0,44,0,up,1,0.6672208000090905,None,44,0,44,0,58.29861590004293,,58.28334210003959,58.29861590004293,58.78227020002669,58.799507900024764,59.45016479998594,0,up,1,0.6672208000090905,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
45,0,45,0,up,1,0.717899999988731,None,45,0,45,0,59.46565070003271,,59.45048510003835,59.46565070003271,59.965649500023574,59.965649500023574,60.69845440000063,0,up,1,0.717899999988731,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
